證券代號,證券名稱,Date,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
50,元大台灣50,2021-01-28,13932000,1809580200,131.60,131.85,128.20,128.20,-2.15,8178
51,元大中型100,2021-01-28,28000,1238630,44.89,45.00,43.70,43.70,-1.00,25
52,富邦科技,2021-01-28,1844000,229047100,126.40,126.85,122.10,122.15,-1.65,843
53,元大電子,2021-01-28,51000,3259000,64.95,64.95,63.05,63.20,-0.35,44
54,元大台商50,2021-01-28,60000,1786960,30.14,30.15,29.50,29.50,-0.64,14
55,元大MSCI金融,2021-01-28,180000,3127320,17.50,17.50,17.25,17.25,-0.25,92
56,元大高股息,2021-01-28,12106000,370025590,30.73,30.77,30.21,30.26,-0.46,5270
57,富邦摩台,2021-01-28,34000,2970600,88.70,88.70,86.85,86.85,-0.25,12
61,元大寶滬深,2021-01-28,225000,5539940,24.56,24.74,24.48,24.48,-0.22,127
6203,元大MSCI台灣,2021-01-28,11000,668700,61.15,61.15,59.95,59.95,-0.75,10
6204,永豐臺灣加權,2021-01-28,1000,77700,77.70,77.70,77.70,77.70,0.35,1
6205,富邦上証,2021-01-28,1877000,74652720,39.74,40.02,39.49,39.49,-0.37,809
6206,元大上證50,2021-01-28,248000,10096590,40.79,40.85,40.45,40.45,-0.24,60
6207,FH滬深,2021-01-28,2653000,85226150,32.00,32.41,31.93,31.94,-0.38,364
6208,富邦台50,2021-01-28,2384000,178048250,75.90,76.00,73.55,73.55,-1.35,1405
00625K,富邦上証+R,2021-01-28,20000,187200,9.36,9.36,9.36,9.36,0.03,2
00631L,元大台灣50正2,2021-01-28,4201000,420247200,102.40,102.45,97.10,97.10,-3.55,2008
00632R,元大台灣50反1,2021-01-28,243557000,1613055640,6.55,6.72,6.54,6.72,0.12,16823
00633L,富邦上証正2,2021-01-28,8541000,652082550,76.20,77.05,75.20,75.20,-0.70,1308
00634R,富邦上証反1,2021-01-28,1232000,4693710,3.80,3.84,3.79,3.84,0.03,112
00635U,元大S&P黃金,2021-01-28,323000,8038740,24.86,24.92,24.85,24.91,0.06,129
636,國泰中國A50,2021-01-28,1331000,38275110,28.70,28.90,28.58,28.58,-0.04,399
00636K,國泰中國A50+U,2021-01-28,100,1025,10.25,10.25,10.25,10.25,0.06,1
00637L,元大滬深300正2,2021-01-28,42796000,1283946310,29.97,30.28,29.60,29.60,-0.22,5515
00638R,元大滬深300反1,2021-01-28,1521000,11533010,7.61,7.63,7.55,7.62,0.01,151
639,富邦深100,2021-01-28,2283000,40508360,17.80,17.89,17.63,17.63,-0.17,332
00640L,富邦日本正2,2021-01-28,779000,19686910,25.50,25.66,24.68,24.78,-0.72,79
00641R,富邦日本反1,2021-01-28,1526000,17806240,11.59,11.78,11.53,11.74,0.17,126
00642U,元大S&P石油,2021-01-28,10145000,90509290,8.93,8.95,8.90,8.92,-0.05,1705
643,群益深証中小,2021-01-28,866000,16743710,19.53,19.54,19.26,19.30,-0.05,142
00643K,群益深証中小+R,2021-01-28,0,0,0.00,0.00,0.00,0.00,0.00,0
645,富邦日本,2021-01-28,183000,4382170,24.06,24.06,23.62,23.64,-0.42,23
646,元大S&P500,2021-01-28,3448000,110675880,32.20,32.30,31.89,31.92,-0.07,1110
00647L,元大S&P500正2,2021-01-28,875000,43736370,50.55,50.80,49.59,49.59,-0.19,68
00648R,元大S&P500反1,2021-01-28,1359000,11379380,8.34,8.42,8.31,8.42,0.03,159
00650L,FH香港正2,2021-01-28,3841000,115952860,30.69,30.81,29.65,29.65,-0.95,460
00651R,FH香港反1,2021-01-28,671000,4758890,7.08,7.17,7.00,7.15,0.07,88
652,富邦印度,2021-01-28,120000,2836070,23.88,23.88,23.55,23.55,-0.13,72
00653L,富邦印度正2,2021-01-28,1584000,50371020,32.05,32.14,31.32,31.50,-0.10,513
00654R,富邦印度反1,2021-01-28,312000,3260010,10.49,10.52,10.34,10.49,0.00,79
00655L,國泰中國A50正2,2021-01-28,3390000,194297250,57.25,57.80,56.50,56.50,-0.60,910
00656R,國泰中國A50反1,2021-01-28,256000,1789540,7.04,7.04,6.97,7.04,0.03,28
657,國泰日經225,2021-01-28,15000,513510,34.50,34.51,33.94,33.94,-0.68,7
00657K,國泰日經225+U,2021-01-28,100,1235,12.35,12.35,12.35,12.35,-0.01,1
660,元大歐洲50,2021-01-28,15000,375360,25.12,25.13,25.00,25.00,0.00,6
661,元大日經225,2021-01-28,3000,105120,35.05,35.05,35.02,35.02,-0.12,2
662,富邦NASDAQ,2021-01-28,548000,25760020,47.01,47.23,46.64,46.65,-0.27,102
00663L,國泰臺灣加權正2,2021-01-28,21000,1870500,90.30,90.40,86.00,86.45,-2.45,16
00664R,國泰臺灣加權反1,2021-01-28,11064000,83338610,7.45,7.64,7.44,7.64,0.13,1102
00665L,富邦恒生國企正2,2021-01-28,1059000,29047230,28.25,28.27,27.08,27.08,-0.77,169
00666R,富邦恒生國企反1,2021-01-28,84000,905920,10.73,10.84,10.73,10.84,0.11,7
668,國泰美國道瓊,2021-01-28,9000,277210,30.74,30.94,30.69,30.69,0.02,5
00668K,國泰美國道瓊+U,2021-01-28,100,1101,11.01,11.01,11.01,11.01,0.09,1
00669R,國泰美國道瓊反1,2021-01-28,11907000,110710310,9.26,9.36,9.22,9.36,0.03,793
00670L,富邦NASDAQ正2,2021-01-28,686000,57653100,84.90,85.25,82.85,83.05,-0.90,244
00671R,富邦NASDAQ反1,2021-01-28,7341000,46826040,6.32,6.42,6.32,6.42,0.05,422
00673R,元大S&P原油反1,2021-01-28,169000,3823850,22.62,22.66,22.55,22.64,0.20,73
00674R,元大S&P黃金反1,2021-01-28,75000,979070,13.10,13.10,13.04,13.07,-0.04,18
00675L,富邦臺灣加權正2,2021-01-28,539000,20418730,38.70,38.76,36.71,36.71,-1.38,348
00676R,富邦臺灣加權反1,2021-01-28,11893000,48966670,4.06,4.17,4.06,4.17,0.07,673
00677U,富邦VIX,2021-01-28,448184000,1764759550,3.78,4.10,3.75,4.10,0.25,26180
678,群益NBI生技,2021-01-28,448000,12894450,28.96,28.97,28.72,28.72,-0.18,42
00680L,元大美債20正2,2021-01-28,60000,1620080,27.03,27.15,26.91,27.15,-0.35,34
00681R,元大美債20反1,2021-01-28,49000,640630,13.08,13.08,13.06,13.07,0.09,8
00682U,元大美元指數,2021-01-28,106000,1911640,18.12,18.12,18.00,18.07,0.00,44
00683L,元大美元指數正2,2021-01-28,813000,13611660,16.70,16.78,16.68,16.76,-0.01,223
00684R,元大美元指數反1,2021-01-28,0,0,0.00,0.00,0.00,0.00,0.00,0
00685L,群益臺灣加權正2,2021-01-28,79000,2592570,33.50,33.51,32.20,32.20,-1.28,21
00686R,群益臺灣加權反1,2021-01-28,501000,2236330,4.43,4.54,4.42,4.54,0.08,54
00688L,國泰20年美債正2,2021-01-28,112000,3066510,27.21,27.41,27.21,27.39,-0.43,10
00689R,國泰20年美債反1,2021-01-28,149000,2001650,13.45,13.45,13.43,13.43,0.10,6
690,兆豐藍籌30,2021-01-28,192000,5700960,30.04,30.10,29.43,29.43,-0.42,57
692,富邦公司治理,2021-01-28,3475000,112315470,32.73,32.80,31.96,31.96,-0.39,1708
00693U,街口S&P黃豆,2021-01-28,9248000,191796450,20.65,20.83,20.64,20.73,-0.24,556
700,富邦恒生國企,2021-01-28,157000,3189190,20.30,20.46,20.08,20.08,-0.34,25
701,國泰股利精選30,2021-01-28,1440000,29573550,20.60,20.62,20.46,20.46,-0.13,779
702,國泰標普低波高息,2021-01-28,55000,970080,17.66,17.66,17.57,17.57,-0.38,16
703,台新MSCI中國,2021-01-28,360000,9834960,27.46,27.48,27.20,27.21,-0.10,46
00706L,元大S&P日圓正2,2021-01-28,0,0,0.00,0.00,0.00,0.00,0.00,0
00707R,元大S&P日圓反1,2021-01-28,0,0,0.00,0.00,0.00,0.00,0.00,0
00708L,元大S&P黃金正2,2021-01-28,1248000,35442440,28.37,28.48,28.33,28.45,0.18,267
709,富邦歐洲,2021-01-28,109000,2308480,21.30,21.30,21.09,21.09,-0.20,10
00710B,FH彭博高收益債,2021-01-28,218000,4005660,18.39,18.39,18.36,18.37,0.01,92
00711B,FH彭博新興債,2021-01-28,101000,2160340,21.34,21.39,21.34,21.39,0.05,3
712,FH富時不動產,2021-01-28,1441000,18138610,12.63,12.66,12.54,12.56,0.02,391
713,元大台灣高息低波,2021-01-28,169000,5841540,34.90,34.90,34.26,34.26,-0.59,79
714,群益道瓊美國地產,2021-01-28,214000,3948620,18.49,18.50,18.41,18.41,-0.07,9
00715L,街口布蘭特油正2,2021-01-28,21242000,108231520,5.07,5.12,5.07,5.08,-0.04,1777
717,富邦美國特別股,2021-01-28,703000,11602550,16.57,16.57,16.48,16.49,0.00,131
728,第一金工業30,2021-01-28,472000,12283970,26.13,26.23,25.78,25.78,-0.12,289
730,富邦臺灣優質高息,2021-01-28,555000,10176110,18.51,18.55,18.16,18.16,-0.33,228
731,FH富時高息低波,2021-01-28,293000,14039700,48.26,48.28,47.54,47.54,-0.61,21
732,國泰RMB短期報酬,2021-01-28,106000,4179430,39.43,39.43,39.40,39.40,0.10,4
733,富邦臺灣中小,2021-01-28,35000,888480,25.86,25.87,25.08,25.08,-0.57,17
735,國泰臺韓科技,2021-01-28,141000,4576700,32.88,33.00,32.14,32.14,-0.74,41
736,國泰新興市場,2021-01-28,202000,4692210,23.29,23.38,23.06,23.06,-0.24,15
737,國泰AI+Robo,2021-01-28,935000,31335960,34.08,34.08,33.21,33.21,-1.06,268
00738U,元大道瓊白銀,2021-01-28,7526000,205857020,27.32,27.52,27.21,27.40,1.27,1822
739,元大MSCI A股,2021-01-28,376000,10932160,29.22,29.30,28.92,28.94,-0.23,75
742,新光內需收益,2021-01-28,86000,1735090,20.20,20.20,20.11,20.11,-0.09,35
743,國泰中國A150,2021-01-28,16000,483240,30.60,30.60,30.00,30.00,-0.28,13
752,中信中國50,2021-01-28,1718000,56408660,32.87,33.10,32.56,32.56,-0.14,784
00753L,中信中國50正2,2021-01-28,1182000,54160640,46.47,46.75,44.87,44.87,-0.93,294
757,統一FANG+,2021-01-28,996000,45684830,46.07,46.24,45.60,45.62,-0.13,407
762,元大全球AI,2021-01-28,423000,15128810,35.96,35.99,35.56,35.63,0.01,79
00763U,街口道瓊銅,2021-01-28,262000,6128780,23.30,23.51,23.28,23.32,0.02,54
770,國泰北美科技,2021-01-28,62000,1986210,32.19,32.20,31.94,31.94,0.09,14
771,元大US高息特別股,2021-01-28,49000,926700,18.91,18.97,18.91,18.91,0.01,11
00774B,新光中國政金綠債,2021-01-28,2000,77900,38.95,38.95,38.95,38.95,0.00,2
00774C,新光中政金綠債+R,2021-01-28,0,0,0.00,0.00,0.00,0.00,0.00,0
00775B,新光投等債15+,2021-01-28,2000,87400,43.70,43.70,43.70,43.70,-0.15,2
783,富邦中証500,2021-01-28,582000,12688770,21.75,21.82,21.70,21.70,-0.26,41
8201,BP上證50,2021-01-28,100,12600,126.00,126.00,126.00,126.00,X0.00,1
830,國泰費城半導體,2021-01-28,3039000,78824210,25.85,26.10,25.66,25.66,0.08,591
850,元大臺灣ESG永續,2021-01-28,4635000,144546390,31.55,31.60,30.80,30.80,-0.50,2321
851,台新全球AI,2021-01-28,25000,713510,28.32,28.67,28.32,28.49,0.16,15
